ID,PART_DESCRIPTION,CAPACITY_mAh,NOMINAL_VOLTAGE_V,MAX_OPERATING_TEMP_C,MIN_OPERATING_TEMP_C,FORM_FACTOR,MAX_DISCHARGE_CURRENT_A,ANODE_MATERIAL,CATHODE_MATERIAL
,Lead-acid deep cycle battery for UPS,5000.0,12.0,70.0,0.0,Pouch,100.0,Lead,Lead Dioxide
,Solid-state battery prototype for aerospace,,12.0,70.0,,Prismatic,2.0,Lithium Metal,Lithium Cobalt Oxide
B3,Nickel-metal hydride battery pack for hybrid vehicles,10000.0,3.6,70.0,,Pouch,20.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
,Solid-state battery prototype for aerospace,5000.0,3.2,40.0,-10.0,Prismatic,100.0,,Lithium Cobalt Oxide
B5,Solid-state battery prototype for aerospace,2500.0,24.0,40.0,-10.0,,100.0,Lithium Metal,Lithium Cobalt Oxide
B6,Compact LiFePO4 battery for solar storage,3000.0,3.2,,0.0,Cylindrical,,Graphite,Lithium Cobalt Oxide
B7,Nickel-metal hydride battery pack for hybrid vehicles,2500.0,24.0,50.0,,Pouch,5.0,Hydrogen-absorbing Alloy,
B8,Nickel-metal hydride battery pack for hybrid vehicles,2000.0,3.2,,,Cylindrical,2.0,,Nickel Oxyhydroxide
B9,Nickel-metal hydride battery pack for hybrid vehicles,,12.0,60.0,,Cylindrical,1.0,Hydrogen-absorbing Alloy,
B10,Solid-state battery prototype for aerospace,10000.0,3.7,40.0,-20.0,Cylindrical,100.0,Lithium Metal,Lithium Cobalt Oxide
B11,Lead-acid deep cycle battery for UPS,5000.0,3.7,60.0,-10.0,Prismatic,10.0,,
B12,Nickel-metal hydride battery pack for hybrid vehicles,5000.0,3.6,70.0,-10.0,Pouch,,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B13,Solid-state battery prototype for aerospace,1000.0,24.0,40.0,-20.0,,100.0,Lithium Metal,Lithium Cobalt Oxide
B14,Compact LiFePO4 battery for solar storage,10000.0,24.0,50.0,0.0,Cylindrical,5.0,Graphite,Lithium Cobalt Oxide
,Lead-acid deep cycle battery for UPS,1000.0,24.0,40.0,-10.0,Prismatic,1.0,,
B16,Compact LiFePO4 battery for solar storage,2000.0,12.0,40.0,0.0,Pouch,,Graphite,Lithium Cobalt Oxide
B17,Lead-acid deep cycle battery for UPS,,24.0,40.0,,Pouch,20.0,Lead,Lead Dioxide
,Solid-state battery prototype for aerospace,,3.7,70.0,-10.0,,2.0,Lithium Metal,Lithium Cobalt Oxide
,High capacity lithium-ion cell for EVs,2000.0,12.0,50.0,0.0,,100.0,Graphite,Lithium Iron Phosphate
